# x_m,y_m,w_tr_right_m,w_tr_left_m
1535.630,-1004.811,6.000,6.000
1534.262,-1000.796,6.000,6.000
1532.809,-996.811,6.000,6.000
1531.286,-992.853,6.000,6.000
1529.702,-988.918,6.000,6.000
1528.067,-985.005,6.000,6.000
1526.385,-981.111,6.000,6.000
1524.643,-977.244,6.000,6.000
1522.862,-973.394,6.000,6.000
1521.044,-969.562,6.000,6.000
1519.181,-965.752,6.000,6.000
1517.269,-961.965,6.000,6.000
1515.324,-958.196,6.000,6.000
1513.343,-954.446,6.000,6.000
1511.299,-950.729,6.000,6.000
1509.214,-947.036,6.000,6.000
1507.086,-943.367,6.000,6.000
1504.884,-939.742,6.000,6.000
1502.625,-936.152,6.000,6.000
1500.314,-932.596,6.000,6.000
1497.941,-929.080,6.000,6.000
1495.492,-925.617,6.000,6.000
1492.992,-922.191,6.000,6.000
1490.443,-918.801,6.000,6.000
1487.838,-915.453,6.000,6.000
1485.185,-912.144,6.000,6.000
1482.504,-908.857,6.000,6.000
1479.803,-905.588,6.000,6.000
1477.089,-902.328,6.000,6.000
1474.382,-899.063,6.000,6.000
1471.689,-895.785,6.000,6.000
1469.018,-892.491,6.000,6.000
1466.380,-889.169,6.000,6.000
1463.786,-885.814,6.000,6.000
1461.230,-882.429,6.000,6.000
1458.716,-879.013,6.000,6.000
1456.249,-875.562,6.000,6.000
1453.840,-872.071,6.000,6.000
1451.472,-868.553,6.000,6.000
1449.141,-865.009,6.000,6.000
1446.845,-861.442,6.000,6.000
1444.586,-857.853,6.000,6.000
1442.342,-854.253,6.000,6.000
1440.109,-850.647,6.000,6.000
1437.884,-847.036,6.000,6.000
1435.657,-843.426,6.000,6.000
1433.413,-839.827,6.000,6.000
1431.144,-836.243,6.000,6.000
1428.841,-832.682,6.000,6.000
1426.473,-829.162,6.000,6.000
1424.307,-825.523,6.000,6.000
1422.324,-821.773,6.000,6.000
1420.256,-818.070,6.000,6.000
1418.116,-814.409,6.000,6.000
1415.877,-810.806,6.000,6.000
1413.400,-807.365,6.000,6.000
1410.840,-803.984,6.000,6.000
1408.215,-800.652,6.000,6.000
1405.595,-797.317,6.000,6.000
1402.982,-793.975,6.000,6.000
1400.410,-790.603,6.000,6.000
1397.888,-787.193,6.000,6.000
1395.418,-783.745,6.000,6.000
1393.100,-780.194,6.000,6.000
1390.730,-776.678,6.000,6.000
1388.223,-773.257,6.000,6.000
1386.444,-769.415,6.000,6.000
1384.840,-765.489,6.000,6.000
1383.379,-761.510,6.000,6.000
1382.247,-757.422,6.000,6.000
1381.707,-753.242,6.000,6.000
1381.907,-749.043,6.000,6.000
1383.041,-744.961,6.000,6.000
1384.738,-741.074,6.000,6.000
1386.857,-737.403,6.000,6.000
1389.219,-733.885,6.000,6.000
1391.746,-730.480,6.000,6.000
1394.393,-727.165,6.000,6.000
1397.076,-723.880,6.000,6.000
1399.877,-720.697,6.000,6.000
1402.747,-717.574,6.000,6.000
1405.632,-714.465,6.000,6.000
1408.312,-711.178,6.000,6.000
1410.544,-707.603,6.000,6.000
1412.360,-703.772,6.000,6.000
1413.863,-699.805,6.000,6.000
1415.092,-695.750,6.000,6.000
1416.106,-691.635,6.000,6.000
1416.848,-687.459,6.000,6.000
1417.307,-683.244,6.000,6.000
1417.610,-679.016,6.000,6.000
1417.706,-674.775,6.000,6.000
1417.362,-670.555,6.000,6.000
1416.867,-666.343,6.000,6.000
1416.226,-662.150,6.000,6.000
1415.557,-657.962,6.000,6.000
1414.827,-653.783,6.000,6.000
1414.122,-649.601,6.000,6.000
1413.431,-645.416,6.000,6.000
1412.879,-641.211,6.000,6.000
1412.308,-637.008,6.000,6.000
1411.551,-632.835,6.000,6.000
1410.705,-628.680,6.000,6.000
1409.718,-624.555,6.000,6.000
1408.583,-620.470,6.000,6.000
1407.360,-616.409,6.000,6.000
1405.939,-612.413,6.000,6.000
1404.486,-608.428,6.000,6.000
1403.041,-604.440,6.000,6.000
1401.481,-600.499,6.000,6.000
1399.764,-596.620,6.000,6.000
1397.829,-592.848,6.000,6.000
1395.813,-589.118,6.000,6.000
1393.307,-585.696,6.000,6.000
1390.688,-582.370,6.000,6.000
1387.739,-579.321,6.000,6.000
1384.703,-576.362,6.000,6.000
1381.548,-573.527,6.000,6.000
1378.310,-570.790,6.000,6.000
1375.016,-568.117,6.000,6.000
1371.675,-565.504,6.000,6.000
1368.322,-562.907,6.000,6.000
1365.289,-559.942,6.000,6.000
1362.265,-556.968,6.000,6.000
1359.260,-553.974,6.000,6.000
1356.279,-550.957,6.000,6.000
1353.313,-547.925,6.000,6.000
1350.467,-544.780,6.000,6.000
1347.720,-541.551,6.000,6.000
1345.111,-538.208,6.000,6.000
1342.770,-534.672,6.000,6.000
1340.448,-531.122,6.000,6.000
1338.146,-527.561,6.000,6.000
1336.257,-523.763,6.000,6.000
1334.444,-519.929,6.000,6.000
1332.594,-516.119,6.000,6.000
1330.336,-512.528,6.000,6.000
1328.072,-508.941,6.000,6.000
1325.797,-505.361,6.000,6.000
1323.507,-501.791,6.000,6.000
1321.190,-498.238,6.000,6.000
1318.844,-494.704,6.000,6.000
1316.435,-491.215,6.000,6.000
1313.945,-487.781,6.000,6.000
1311.700,-484.183,6.000,6.000
1309.314,-480.678,6.000,6.000
1306.829,-477.241,6.000,6.000
1304.318,-473.823,6.000,6.000
1301.785,-470.420,6.000,6.000
1299.241,-467.026,6.000,6.000
1296.686,-463.641,6.000,6.000
1294.125,-460.259,6.000,6.000
1291.540,-456.897,6.000,6.000
1288.930,-453.554,6.000,6.000
1286.344,-450.192,6.000,6.000
1283.770,-446.821,6.000,6.000
1281.212,-443.437,6.000,6.000
1278.860,-439.908,6.000,6.000
1276.714,-436.253,6.000,6.000
1274.626,-432.561,6.000,6.000
1272.425,-428.937,6.000,6.000
1270.114,-425.380,6.000,6.000
1267.858,-421.788,6.000,6.000
1265.660,-418.161,6.000,6.000
1263.681,-414.411,6.000,6.000
1262.006,-410.516,6.000,6.000
1260.112,-406.722,6.000,6.000
1258.031,-403.027,6.000,6.000
1255.753,-399.451,6.000,6.000
1253.603,-395.796,6.000,6.000
1251.695,-392.013,6.000,6.000
1249.979,-388.134,6.000,6.000
1248.304,-384.238,6.000,6.000
1246.666,-380.325,6.000,6.000
1245.081,-376.391,6.000,6.000
1243.335,-372.526,6.000,6.000
1241.721,-368.605,6.000,6.000
1240.196,-364.647,6.000,6.000
1238.651,-360.697,6.000,6.000
1237.205,-356.710,6.000,6.000
1235.853,-352.691,6.000,6.000
1234.599,-348.639,6.000,6.000
1233.368,-344.580,6.000,6.000
1232.225,-340.495,6.000,6.000
1231.475,-336.321,6.000,6.000
1231.102,-332.098,6.000,6.000
1231.357,-327.871,6.000,6.000
1233.123,-324.277,6.000,6.000
1236.862,-322.286,6.000,6.000
1240.711,-320.504,6.000,6.000
1244.653,-318.949,6.000,6.000
1248.744,-317.882,6.000,6.000
1252.955,-317.375,6.000,6.000
1257.182,-317.046,6.000,6.000
