# x_m,y_m,w_tr_right_m,w_tr_left_m
496.974,-105.663,6.287,6.703
492.094,-106.776,6.287,6.709
487.210,-107.874,6.287,6.714
482.322,-108.955,6.281,6.714
477.432,-110.024,6.275,6.715
472.539,-111.082,6.270,6.715
467.644,-112.132,6.264,6.716
462.748,-113.177,6.258,6.716
457.851,-114.218,6.253,6.717
452.954,-115.259,6.247,6.717
448.058,-116.302,6.241,6.718
443.162,-117.349,6.235,6.718
438.267,-118.399,6.230,6.719
433.372,-119.451,6.224,6.719
428.477,-120.504,6.218,6.720
423.582,-121.555,6.213,6.721
418.686,-122.602,6.207,6.721
413.790,-123.644,6.201,6.722
408.891,-124.678,6.196,6.722
403.991,-125.703,6.190,6.723
399.089,-126.718,6.184,6.723
394.184,-127.722,6.179,6.724
389.278,-128.717,6.173,6.724
384.370,-129.702,6.167,6.725
379.460,-130.678,6.161,6.725
374.548,-131.645,6.156,6.726
369.634,-132.603,6.150,6.726
364.719,-133.552,6.144,6.727
359.802,-134.494,6.152,6.741
354.884,-135.427,6.163,6.758
349.964,-136.353,6.174,6.775
345.043,-137.271,6.185,6.793
340.120,-138.182,6.196,6.810
335.197,-139.087,6.207,6.827
330.272,-139.985,6.218,6.845
325.346,-140.877,6.229,6.862
320.418,-141.762,6.240,6.879
315.490,-142.642,6.251,6.897
310.561,-143.517,6.262,6.914
305.631,-144.385,6.273,6.931
300.700,-145.248,6.284,6.949
295.768,-146.104,6.295,6.966
290.835,-146.955,6.306,6.983
285.901,-147.800,6.317,7.001
280.966,-148.639,6.328,7.018
276.030,-149.473,6.339,7.035
271.092,-150.300,6.350,7.053
266.154,-151.121,6.361,7.070
261.215,-151.936,6.372,7.087
256.275,-152.744,6.383,7.105
251.334,-153.547,6.394,7.122
246.392,-154.344,6.405,7.139
241.448,-155.134,6.433,7.142
236.504,-155.918,6.554,7.066
231.559,-156.696,6.676,6.990
226.612,-157.467,6.797,6.914
221.665,-158.232,6.918,6.838
216.716,-158.990,7.040,6.762
211.767,-159.742,7.161,6.686
206.816,-160.486,7.155,6.717
201.865,-161.224,7.124,6.769
196.912,-161.955,7.093,6.821
191.958,-162.679,7.062,6.873
187.003,-163.396,7.031,6.925
182.048,-164.105,7.000,6.977
177.091,-164.807,6.969,7.029
172.133,-165.501,6.990,7.086
167.174,-166.188,7.013,7.142
162.214,-166.867,7.037,7.199
157.253,-167.538,7.061,7.255
152.292,-168.201,7.085,7.312
147.329,-168.857,7.109,7.368
142.365,-169.504,7.133,7.425
137.400,-170.145,7.156,7.481
132.434,-170.780,7.180,7.538
127.468,-171.409,7.204,7.594
122.501,-172.033,7.228,7.651
117.533,-172.653,7.252,7.708
112.565,-173.269,7.276,7.764
107.597,-173.883,7.300,7.821
102.628,-174.495,7.330,7.852
97.660,-175.105,7.387,7.769
92.691,-175.715,7.445,7.687
87.722,-176.324,7.502,7.605
82.753,-176.934,7.560,7.522
77.784,-177.546,7.617,7.440
72.816,-178.159,7.675,7.357
67.848,-178.775,7.681,7.338
62.880,-179.395,7.661,7.353
57.913,-180.018,7.641,7.368
52.946,-180.643,7.620,7.383
47.979,-181.272,7.600,7.398
43.012,-181.902,7.579,7.412
38.046,-182.533,7.559,7.427
33.080,-183.165,7.538,7.442
28.114,-183.797,7.518,7.457
23.147,-184.428,7.498,7.472
18.181,-185.059,7.477,7.487
13.214,-185.689,7.457,7.501
8.248,-186.316,7.436,7.516
3.281,-186.941,7.416,7.531
-1.687,-187.563,7.396,7.546
-6.655,-188.181,7.379,7.563
-11.623,-188.795,7.433,7.622
-16.592,-189.404,7.488,7.681
-21.562,-190.008,7.543,7.740
-26.532,-190.607,7.597,7.800
-31.503,-191.201,7.652,7.859
-36.475,-191.792,7.707,7.918
-41.446,-192.378,7.761,7.977
-46.419,-192.962,7.816,8.036
-51.391,-193.544,7.871,8.095
-56.364,-194.125,7.925,8.154
-61.336,-194.706,7.980,8.214
-66.309,-195.286,8.035,8.273
-71.282,-195.867,8.089,8.332
-76.254,-196.449,8.144,8.391
-81.226,-197.034,8.199,8.450
-86.198,-197.621,8.253,8.509
-91.170,-198.212,8.308,8.569
-96.141,-198.806,8.363,8.628
-101.112,-199.406,8.417,8.687
-106.081,-200.011,8.472,8.746
-111.051,-200.621,8.527,8.805
-116.021,-201.225,8.581,8.864
-120.993,-201.806,8.636,8.924
-125.970,-202.347,8.691,8.983
-130.953,-202.831,8.745,9.042
-135.939,-203.285,8.904,9.032
-140.916,-203.798,9.199,8.933
-145.873,-204.466,9.494,8.833
-150.796,-205.386,9.789,8.733
-155.591,-206.749,10.151,8.805
-159.765,-209.172,10.532,8.924
-162.737,-212.995,10.504,8.707
-164.309,-217.812,9.886,8.004
-164.587,-222.753,9.267,7.301
-163.339,-227.292,8.846,7.061
-160.896,-231.498,8.573,7.168
-158.017,-235.594,8.300,7.275
-154.985,-239.628,8.027,7.383
-151.920,-243.621,7.758,7.489
-148.829,-247.579,7.735,7.493
-145.717,-251.510,7.712,7.497
-142.589,-255.419,7.689,7.501
-139.449,-259.313,7.666,7.505
-136.304,-263.198,7.643,7.509
-133.156,-267.081,7.620,7.513
-130.013,-270.967,7.597,7.517
-126.878,-274.863,7.561,7.548
-123.754,-278.772,7.517,7.593
-120.645,-282.694,7.472,7.638
-117.552,-286.631,7.428,7.683
-114.478,-290.585,7.384,7.727
-111.427,-294.556,7.354,7.756
-108.400,-298.547,7.347,7.755
-105.400,-302.558,7.341,7.754
-102.430,-306.591,7.334,7.752
-99.491,-310.646,7.328,7.751
-96.581,-314.722,7.322,7.750
-93.699,-318.817,7.315,7.749
-90.844,-322.930,7.309,7.748
-88.014,-327.059,7.302,7.747
-85.208,-331.204,7.302,7.739
-82.424,-335.362,7.311,7.724
-79.662,-339.532,7.319,7.708
-76.920,-343.713,7.327,7.693
-74.197,-347.906,7.335,7.677
-71.493,-352.112,7.344,7.662
-68.808,-356.332,7.352,7.646
-66.142,-360.569,7.360,7.630
-63.495,-364.824,7.368,7.615
-60.866,-369.098,7.363,7.582
-58.255,-373.394,7.288,7.454
